,Cluster,Name,Category,Latitude,Longitude
198,4,Subway,Sandwich Place,55.885959,-3.160766
199,4,Next,Clothing Store,55.88475651,-3.16248945
200,4,Home Bargains,Discount Store,55.8850859,-3.16043554
201,4,Costa Coffee,Coffee Shop,55.88455,-3.1638992
202,4,Costco,Warehouse Store,55.87956594839659,-3.1658782387494115
203,4,TK Maxx,Clothing Store,55.88567746710635,-3.1609808364533496
204,4,Iceland,Grocery Store,55.90674084857514,-3.1332899567376766
205,4,Aldi,Supermarket,55.913071891722545,-3.146556292192362
206,4,Lidl,Supermarket,55.90645299858323,-3.133674763351137
207,4,Boots,Pharmacy,55.8867798322335,-3.1632459902097922
208,4,IKEA,Furniture / Home Store,55.88056847742276,-3.1682049504381373
209,4,Asda,Supermarket,55.8785235,-3.1703376
210,4,Tesco,Supermarket,55.90248236628537,-3.1550395488739014
211,4,Frankie & Benny's,American Restaurant,55.88564402584555,-3.16384034110456
212,4,Burger King,Fast Food Restaurant,55.88290730384193,-3.16801637444928
213,4,Fryers Delight,Fast Food Restaurant,55.902471,-3.1558388471603394
214,4,Gracemount Leisure Centre,Gym / Fitness Center,55.90298818539828,-3.154804227597655
215,4,Morrisons,Supermarket,55.90943834289543,-3.141895142245989
216,4,Klondyke Garden Centre,Furniture / Home Store,55.90028952476447,-3.1770428365973555
217,4,Domino's Pizza,Pizza Place,55.90560796709507,-3.132467260077874
218,4,IKEA Restaurant & Café,Scandinavian Restaurant,55.88057092325932,-3.168154740299049
219,4,poddingtons,Café,55.88605,-3.16094
220,4,Supperbowl,Fast Food Restaurant,55.90564929238295,-3.132653801786189
221,4,American Golf,Sporting Goods Shop,55.91329,-3.177809
222,4,Pentland Plants,Flower Shop,55.8745952524963,-3.1787760422854907
223,5,Linlithgow Palace,Historic Site,55.97801660066997,-3.6008526097404183
224,5,So Strawberry caffé,Café,55.977159,-3.600815
225,5,The Old Post Office,Pub,55.9766091090004,-3.597851940561013
226,5,The Four Marys,Pub,55.97690818263444,-3.5997702496965434
227,5,Champany Inn,Steakhouse,55.993243447121664,-3.560035932129636
228,5,West Port Restaurant,Gastropub,55.975948,-3.611813
229,5,Taste,Breakfast Spot,55.976667883611334,-3.5987416693966723
230,5,B&M Store,Furniture / Home Store,55.97502643500884,-3.6226466773463937
231,5,Platform 3,Pub,55.97677620509068,-3.596657791111163
232,5,Linlithgow Railway Station (LIN),Train Station,55.97638101709206,-3.595532240690959
233,5,Subway,Sandwich Place,55.976352750722306,-3.602392449688523
234,5,Domino's Pizza - Linlithgow,Pizza Place,55.97492650034282,-3.620113440745513
235,5,Tesco,Supermarket,55.9773147,-3.5953134
236,5,Delhi's Winter,Indian Restaurant,55.97719276514679,-3.5951772697228463
237,5,Sainsbury's,Supermarket,55.976426003148596,-3.624427492642406
238,5,Aldi,Supermarket,55.97507620067816,-3.6208551367226343
239,5,Greggs,Bakery,55.977364152932914,-3.5950183868408203
240,5,Argos,Warehouse Store,55.97544111518396,-3.62268132178924
241,5,Stockbridge Retail Park,Shopping Plaza,55.97555865796252,-3.622198974277144
242,5,Xcite Linlithgow Leisure Centre,Gym / Fitness Center,55.96941077118656,-3.625696811178446
243,5,Xcite Linlithgow,Gym / Fitness Center,55.96937858389074,-3.6255979352675154
244,6,Arnold Clark,Rental Car Location,55.9385540947402,-3.3602906809677116
245,6,Brewdog Edinburgh Airport,Beer Bar,55.94895248474225,-3.3615829121723078
246,6,RBS Fitness & Wellbeing Centre,Gym,55.934066677085845,-3.339424375706068
247,6,Xtreme Karting,Go Kart Track,55.9371586450515,-3.405918951720935
248,6,Bridge Inn,Pub,55.922033351422805,-3.3827040686129997
249,6,Check In Hall,Airport Service,55.948173537457805,-3.363910482379368
250,6,Royal Highland Centre,Event Space,55.94093988050916,-3.3740379504973554
251,6,Edinburgh International Climbing Arena,Rock Climbing Spot,55.92203268103763,-3.3827392882281933
252,6,Edinburgh Airport (EDI) (Edinburgh Airport),Airport,55.948304760315956,-3.3633021089803075
253,6,Pret A Manger,Sandwich Place,55.95073768027848,-3.359391689300537
254,6,Ingliston Park & Ride Tram Stop,Tram Station,55.94006261864503,-3.3540982394761367
255,6,EDI - Car Rental Village,Rental Car Location,55.94633196979633,-3.360067757710345
256,6,M&S Simply Food,Grocery Store,55.9488122,-3.36284873
257,6,Next,Clothing Store,55.948183,-3.364154
258,6,Costa Coffee,Coffee Shop,55.94893468069393,-3.363582701364031
259,6,Superdrug,Cosmetics Shop,55.94870505740643,-3.3640018546380683
260,6,Departure Lounge,Airport Lounge,55.94831598527762,-3.3640398237553173
261,6,Edinburgh Airport Tram Stop,Tram Station,55.94742760781933,-3.360335826873779
262,6,Boots,Pharmacy,55.948137788712934,-3.3653479662883243
263,6,Europcar,Rental Car Location,55.9462936,-3.3599677
264,6,Thermidors Seafood & Champagne Bar,Seafood Restaurant,55.948110628870104,-3.365295609875911
265,6,No.1 Edinburgh,Airport Lounge,55.94865154548984,-3.3633749902282455
266,6,Dixons Travel,Electronics Store,55.94830182866883,-3.364071721009155
267,6,Burger King,Fast Food Restaurant,55.94880553766596,-3.3630020674590924
268,6,WHSmith,Bookstore,55.9485753,-3.3629322
269,6,YO! Sushi,Sushi Restaurant,55.948376,-3.365259
270,6,World Duty Free,Duty-free Shop,55.94830123560426,-3.364032645673751
271,6,Dunkin',Donut Shop,55.94808,-3.365465
272,6,Wetherspoon Express (Wetherspoon),Pub,55.94894858333645,-3.363290337145518
273,6,Krispy Kreme,Donut Shop,55.948771,-3.363986
274,6,Cargo Area Edinburgh Airport,Airport Terminal,55.95244777323474,-3.3517135235387827
275,6,Gogarburn Tram Stop,Tram Station,55.937984,-3.332348
276,6,Ratho Park Golf Club,Golf Course,55.923728395133885,-3.3530012229100743
277,6,Edinburgh Tram Depot,Light Rail Station,55.93966358023357,-3.3262570282777832
278,7,Co-op Food,Grocery Store,55.75206798595214,-3.3551163503939256
279,7,The Old Bakehouse,Steakhouse,55.7529957829896,-3.35566249761318
280,7,Gordon Arms Hotel,Pub,55.75388250200795,-3.3566178995060327
281,7,Belmarsh Construction,Construction & Landscaping,55.775752,-3.342204
282,8,Dirleton Castle,Castle,56.046025495318425,-2.778446674346924
283,8,Herringbone,Restaurant,56.05800115543126,-2.722800072331921
284,8,Steampunk Coffee,Coffee Shop,56.05821222564419,-2.719005386419734
285,8,North Berwick Law,Mountain,56.04880737639372,-2.7186920175161813
286,8,Bostock bakery,Bakery,56.058502,-2.718489
287,8,Scottish Seabird Centre,Science Museum,56.0612904542936,-2.717441130320843
288,8,Osteria,Restaurant,56.05819402245594,-2.7197492122650146
289,8,Lobster Shack,Fish & Chips Shop,56.061474918109624,-2.7185123213414393
290,8,Archerfield Walled Garden,Garden,56.04471450197353,-2.801879775231256
291,8,Zitto,Wine Bar,56.058776449878046,-2.717138222143327
292,8,Costa Coffee,Coffee Shop,56.058732,-2.719729
293,8,North Berwick Fry,Restaurant,56.05843663215637,-2.717168927192688
294,8,Yellowcraigs Beach,Beach,56.06245777719598,-2.7742066152398346
295,8,West Links,Golf Course,56.060860584764896,-2.74427169547681
296,8,North Berwick Railway Station (NBW),Train Station,56.05686200317737,-2.7305615102180494
297,8,The Ship Inn,Pub,56.05833052210066,-2.7171478590142386
298,8,The Rocketeer Restaurant,Seafood Restaurant,56.06063541862331,-2.717781011020955
299,8,Archerfield Golf Club,Golf Course,56.05537359647142,-2.8008900576586715
300,8,Golfers Rest,Pub,56.058143,-2.7219059726357315
301,8,North Berwick Sports Centre,Gym / Fitness Center,56.0528448797833,-2.7209605358099633
302,8,Cake,Café,56.05822787251842,-2.7210041159790865
303,8,Alandas Gelateria,Ice Cream Shop,56.059315306616334,-2.720318829575118
304,8,North Berwick Harbour,Harbor / Marina,56.060467018497874,-2.7178279395220324
305,9,Portobello Beach (joppa end),Beach,55.949776526866984,-3.0971145629882812
306,9,S Luca,Ice Cream Shop,55.94325287416159,-3.0470444733181434
307,9,Brunton Theatre,Performing Arts Venue,55.94381157347738,-3.0574338893633635
308,9,The David Macbeth Moir (Wetherspoons),Pub,55.94358152839393,-3.058328220529127
309,9,Staggs Pub,Pub,55.944165,-3.0573661
310,9,River Esk,Park,55.94166233054637,-3.056699173868282
311,9,Portobello Beach,Beach,55.95471720219812,-3.1095385551452637
312,9,The Dalriada,Pub,55.950659298514196,-3.1001908156447473
313,9,Beach House Cafe,Café,55.954833230191404,-3.1104085658052227
314,9,Portobello Promenade,Waterfront,55.95343785659638,-3.107232978620396
315,9,Five Guys,Burger Joint,55.934983619158416,-3.1055198994056354
316,9,Musselburgh Racecourse,Racetrack,55.94594370619216,-3.043985753996863
317,9,Malvarosa,Tapas Restaurant,55.95186700504915,-3.1105470657348633
318,9,Odeon,Multiplex,55.9352196,-3.1052873
319,9,Newhailes Estate,Park,55.9464138163424,-3.081427357923423
320,9,Hobbycraft,Arts & Crafts Store,55.93432463013195,-3.1060143904102633
321,9,Bross Bagels,Bagel Shop,55.952528,-3.113184
322,9,Smyths Toys,Toy / Game Store,55.93375311464001,-3.1063912056633765
323,9,Twelve Triangles,Bakery,55.951435,-3.108798
324,9,New Look,Clothing Store,55.933768,-3.1040409
325,9,The Skylark,Bar,55.951984526410186,-3.111206869312498
326,9,Starbucks,Coffee Shop,55.93391,-3.10113
327,9,Costa Coffee,Coffee Shop,55.942482876386336,-3.050615747428895
328,9,Costa Coffee,Coffee Shop,55.93362546012863,-3.105237022144514
329,9,Patisserie Valerie,Café,55.933598,-3.105464
330,9,Caffè Nero,Coffee Shop,55.93454927515925,-3.105078074570476
331,9,Waterstones,Bookstore,55.93425376710771,-3.106053909854809
332,9,TGI Fridays,American Restaurant,55.93466169679022,-3.105036914624514
333,9,Iceland,Grocery Store,55.94201433881401,-3.067502975463867
334,9,"The Quay, Musselburgh",Indian Restaurant,55.9447893358888,-3.068321910767602
335,9,Ravelston House,Restaurant,55.943906133333336,-3.0648945333333337
336,9,Pets at Home,Pet Store,55.933612,-3.1017
337,9,Aldi,Supermarket,55.94186628434666,-3.067640675085729
338,9,Caprice,Italian Restaurant,55.94171983221251,-3.053140812158047
339,9,St Andrews,Fish & Chips Shop,55.95168427820611,-3.109704093457512
340,9,Boots,Pharmacy,55.942464,-3.051643
341,9,H&M,Clothing Store,55.933972363112694,-3.107002354954602
342,9,Portobello Swim Centre,Pool,55.95327338773263,-3.106764622719109
343,9,B&M Store,Discount Store,55.9332581,-3.098465
344,9,TK Maxx,Clothing Store,55.93456430205922,-3.1011676355033715
345,9,Primark,Clothing Store,55.934647,-3.1004859
346,9,Starbucks,Coffee Shop,55.931464550417175,-3.0733276238805063
347,9,Game,Video Game Store,55.93179856288232,-3.1079721450805664
348,9,Next,Clothing Store,55.93373279999999,-3.1032281999999896
349,9,Marks & Spencer,Department Store,55.93553508,-3.10093027
350,9,Subway,Sandwich Place,55.93312706415042,-3.1050200932540983
351,9,Lidl,Supermarket,55.943424908045,-3.06759098605232
352,9,Co-op Food,Grocery Store,55.93696342298291,-3.0733821043232314
353,9,Subway,Sandwich Place,55.942314,-3.051708
354,9,Domino's Pizza,Pizza Place,55.944058415570865,-3.0612733355410455
355,9,Fort Kinnaird Retail Park,Shopping Plaza,55.93475131062425,-3.1057627304354583
356,9,Pizza Hut,Pizza Place,55.9343321,-3.103635
357,9,Sports Direct,Sporting Goods Shop,55.93244671091082,-3.107905643004644
358,9,B&Q,Hardware Store,55.931880438122,-3.097666710311884
359,9,Boots,Pharmacy,55.93318416968,-3.1072181696749794
360,9,The Range,Furniture / Home Store,55.94184383583228,-3.1015978756922324
361,9,Asda,Supermarket,55.9388335,-3.1036662
362,9,McDonald's,Fast Food Restaurant,55.93399705498756,-3.100499645844215
363,9,Cuddie Brae,Restaurant,55.93458249416596,-3.0947166272288134
364,9,Brewers Fayre,Pub,55.925637,-3.035002
365,9,WHSmith,Bookstore,55.932888,-3.1076648
366,9,Burger King -  3 Whitehill Road,Fast Food Restaurant,55.93206158585852,-3.104912067459054
367,9,Fisherrow Harbour,Harbor / Marina,55.94525878622679,-3.067331314086914
368,9,The Musselburgh Golf Club,Golf Course,55.93045077059616,-3.058380617464572
369,9,Chiquito,Mexican Restaurant,55.9348794,-3.1054599
370,9,Argos,Warehouse Store,55.93903457398126,-3.105380244446991
371,9,Brunstane Railway Station (BSU),Train Station,55.9421611370415,-3.1008842145918316
372,9,Musselburgh Sports Centre,Gym / Fitness Center,55.93943060296232,-3.048856258392334
373,9,Jack Kane Sports Centre,Athletics & Sports,55.9319344196641,-3.117188556621737
374,9,Abercorn Park,Park,55.9518812193637,-3.10720935430167
375,9,Carlo's fish and chips,Fast Food Restaurant,55.952091,-3.111557
376,9,The Mercat,Gastropub,55.922018624014676,-3.036360156418517
377,10,Bathgate Sports Centre,Gym / Fitness Center,55.90810097521645,-3.642995706619362
378,10,McDonald's,Fast Food Restaurant,55.89868254,-3.6439159
379,10,Home Bargains,Discount Store,55.89916273,-3.64274251
380,10,Bathgate Railway Station (BHG),Train Station,55.89717627679131,-3.6358934245704657
381,10,PizzaExpress,Pizza Place,55.90717795150106,-3.659245223024074
382,10,Lidl,Supermarket,55.899223,-3.641266
383,10,Asda,Supermarket,55.88633,-3.6905511
384,10,Subway,Sandwich Place,55.90119369486595,-3.641761921008424
385,10,Morrisons,Supermarket,55.89682590741206,-3.644623293274039
386,10,Costa Coffee,Coffee Shop,55.89339251674548,-3.6196063305945883
387,10,B&M Store,Discount Store,55.8996544,-3.6425579
388,10,Shell,Gas Station,55.869123,-3.68683
389,10,Rowan Tree Armadale,Pub,55.884838,-3.692675
390,10,Domino's Pizza,Pizza Place,55.90212261148205,-3.643055522253121
391,10,WHSmith,Stationery Store,55.90165780932221,-3.6418213096652607
392,10,Argos,Warehouse Store,55.900243446263474,-3.641323245609393
393,10,Aldi,Supermarket,55.879516129996986,-3.6489830847881395
394,10,The Ballencrieff,Pub,55.902727743309214,-3.6403461257602885
395,10,Tesco,Supermarket,55.89369915612898,-3.619174312911582
396,10,Xcite Armadale,Gym,55.900618970385814,-3.698802012841488
